DROGA ;MARCA ;PRESENTACION;LABORATORIO;COBERTURA;COPAGO
topiramato;TOPICTAL;50 mg comp.rec.x 28;Adium;80%;$ 6410.89
topiramato;NEUTOP;50 mg comp.rec.x 56;Elea;80%;$ 11942.88
topiramato;TOPICTAL;50 mg comp.rec.x 56;Adium;80%;$ 12347.81
topiramato;EPISTAL;50 mg comp.x 28;Casasco;80%;$ 6145.39
topiramato;TOPAMAC;50 mg comp.x 28;Janssen-Cilag;80%;$ 8689.83
topiramato;EPISTAL;50 mg comp.x 56;Casasco;80%;$ 11113.01
toxoide tetánico;VACUNA ANTITETANICA BIOL;a.x 1 x 0.5ml c/jga.+ag.;Biol;50%;$ 4932.55
toxoide tetánico;TETAVAX;jga.prell.x 0.5 ml;Sanofi Health A;50%;$ 1045.68
toxoide tetánico;TETANOL PUR;susp.iny.x 1 x 0.5 ml;GlaxoSmithKline;50%;$ 1353.26
toxoide tetánico+diftérico;DITE (EX VACUNA DOBLE ADULTOS BIOL);a.x 1 x 0.5 ml c/jga.+ag;Biol;50%;$ 5028.5
toxoide tetánico+diftérico;IMOVAX DT ADULTOS;jga.prell.x 0.5 ml;Sanofi Health A;50%;$ 457.92
tramadol;CALMADOR;100 mg a.x 6;Finadiet;50%;$ 8206.69
tramadol;LIXIDOL 100 LP;100 mg comp.LP.x 10;Casasco;50%;$ 7507.65
tramadol;CALMADOR RETARD;100 mg comp.lib.prol.x10;Finadiet;50%;$ 7776.92
tramadol;TRAMAL LONG;100 mg comp.rec.x 10;Vannier-Grunent;50%;$ 7540.13
tramadol;TRAMADOLTEN RETARD;100 mg comp.x 10;Pfizer;50%;$ 291.23
tramadol;LIXIDOL GOTAS;100 mg gotas x 10 ml;Casasco;50%;$ 8216.26
tramadol;LIXIDOL GOTAS;100 mg gotas x 20 ml;Casasco;50%;$ 12424.9
tramadol;TRAMA KLOSIDOL;100 mg iny.a.x 5;Bag¿;50%;$ 628.91
tramadol;ULTRAGESIC GOTAS;100 mg/ml gtas. x 10 ml;Adium;50%;$ 8833.9
tramadol;ULTRAGESIC GOTAS;100 mg/ml gtas. x 20 ml;Adium;50%;$ 14218.83
tramadol;TRAMAL;100 mg/ml gts.x 10 ml;Vannier-Grunent;50%;$ 8796.73
tramadol;CALMADOR 100;100 mg/ml gts.x 10 ml;Finadiet;50%;$ 9129.3
tramadol;TRAMA KLOSIDOL 100;100 mg/ml gts.x 10 ml;Bag¿;50%;$ 10555.14
tramadol;TRAMAL;100 mg/ml gts.x 20 ml;Vannier-Grunent;50%;$ 13382.27
tramadol;CALMADOR 100;100 mg/ml gts.x 20 ml;Finadiet;50%;$ 13805.57
tramadol;ULTRACALMANS;50 mg comp.x 10;Soubeiran Chobe;50%;$ 3924.2
tramadol;TRAMADOLTEN;50 mg comp.x 20;Pfizer;50%;$ 761.37
tramadol;ULTRACALMANS;50 mg comp.x 20;Soubeiran Chobe;50%;$ 7037.63
tramadol;LIXIDOL 50;50 mg comp.x 20;Casasco;50%;$ 7401.21
tramadol;CALMADOR;50 mg comp.x 20;Finadiet;50%;$ 8093.47
tramadol;ANA-Q;50 mg comp.x 30;Ariston;50%;$ 9408.26
tramadol;ULTRACALMANS;50 mg comp.x 30;Soubeiran Chobe;50%;$ 10307.5
tramadol;LIXIDOL 50;50 mg comp.x 30;Casasco;50%;$ 10320.92
tramadol;CALMADOR;50 mg comp.x 30;Finadiet;50%;$ 11129.4
tramadol;CALMADOR;50 mg comp.x 6;Finadiet;50%;$ 126.69
tramadol;ULTRAGESIC CB;50 mg cáps.bl. x 10;Adium;50%;$ 4111.82
tramadol;ULTRAGESIC CB;50 mg cáps.bl. x 20;Adium;50%;$ 8223.67
tramadol;ULTRAGESIC CB;50 mg cáps.bl. x 30;Adium;50%;$ 11542.32
tramadol;TRAMAL;50 mg cáps.x 10;Vannier-Grunent;50%;$ 4325.46
tramadol;CALMADOR CB;50 mg cáps.x 20;Finadiet;50%;$ 7849.1
tramadol;TRAMAL;50 mg cáps.x 20;Vannier-Grunent;50%;$ 7855.63
tramadol;CALMADOR CB;50 mg cáps.x 30;Finadiet;50%;$ 10699.29
tramadol;LIXIDOL GOTAS;50 mg gotas x 10 ml;Casasco;50%;$ 6057.17
tramadol;LIXIDOL GOTAS;50 mg gotas x 20 ml;Casasco;50%;$ 10855.11
tramadol;ULTRACALMANS;50 mg gts.x 20 ml;Soubeiran Chobe;50%;$ 11634.24
tramadol;TRAMANOVAG;50 mg tab.orales x 20;Gobbi;50%;$ 299.09
tramadol;CALMADOR;50 mg/ml gts.x 10 ml;Finadiet;50%;$ 6494.3
tramadol;TRAMA KLOSIDOL GOTAS;50 mg/ml gts.x 20 ml;Bag¿;50%;$ 8341.71
tramadol;CALMADOR;50 mg/ml gts.x 20 ml;Finadiet;50%;$ 10851.92
tramadol;TRAMAXEDENOL;comp.ran. x 30;Baliarda;50%;$ 10320.92
tramadol;CLOQ;comp.rec.x 20;Trb-Pharma;50%;$ 6797.18
tramadol;TRAMUSTIN;comp.x 10;Craveri;50%;$ 3531.83
tramadol;TRAMUSTIN;comp.x 20;Craveri;50%;$ 7401.21
tramadol;TRAMA KLOSIDOL 50;comp.x 20;Bag¿;50%;$ 8445.46
tramadol;TRAMUSTIN;comp.x 30;Craveri;50%;$ 10320.92
tramadol;CLOQ;gts.x 20 ml;Trb-Pharma;50%;$ 6000.01
tramadol+paracetamol;ULTRAGESIC PLUS;37.5/325 mg comp.x 10;Adium;40%;$ 8478.85
tramadol+paracetamol;ULTRAGESIC PLUS;37.5/325 mg comp.x 20;Adium;40%;$ 16009.02
tramadol+paracetamol;ULTRAGESIC PLUS;37.5/325 mg comp.x 30;Adium;40%;$ 20226.88
tramadol+paracetamol;CLOQ PLUS;comp.rec.x 10;Trb-Pharma;40%;$ 1505.26
tramadol+paracetamol;NERVIDOL;comp.rec.x 20;Roemmers;40%;$ 29262
tramadol+paracetamol;CLOQ PLUS;comp.rec.x 30;Trb-Pharma;40%;$ 18360.01
tramadol+paracetamol;TRAMACET;comp.x 10;Janssen-Cilag;40%;$ 670.54
tramadol+paracetamol;TAXAT;comp.x 10;Montpellier;40%;$ 7762.06
tramadol+paracetamol;LIXIDOL GESIC;comp.x 10;Casasco;40%;$ 7911.07
tramadol+paracetamol;TRAMADOLTEN PLUS;comp.x 20;Pfizer;40%;$ 1737.73
tramadol+paracetamol;TRAMAL PLUS;comp.x 20;Vannier-Grunent;40%;$ 15059.78
tramadol+paracetamol;TAXAT;comp.x 20;Montpellier;40%;$ 15298.06
tramadol+paracetamol;CALMADOR PLUS;comp.x 20;Finadiet;40%;$ 15573.93
tramadol+paracetamol;LIXIDOL GESIC;comp.x 20;Casasco;40%;$ 15575
tramadol+paracetamol;TRAMACET;comp.x 20;Janssen-Cilag;40%;$ 21752.65
tramadol+paracetamol;TAXAT;comp.x 30;Montpellier;40%;$ 19588.88
tramadol+paracetamol;CALMADOR PLUS;comp.x 30;Finadiet;40%;$ 19616.06
tramadol+paracetamol;LIXIDOL GESIC;comp.x 30;Casasco;40%;$ 19627.09
travoprost;ARVO;sol.oft.x 2.5 ml;Elea;60%;$ 8647.1
travoprost;GLAUNOT;sol.oft.x 2.5 ml;Lab Internacion;60%;$ 9361.32
travoprost;GLAUNOT SC;sol.oft.x 2.5 ml;Lab Internacion;60%;$ 9890.09
travoprost;TRAVATAN;sol.oft.x 2.5 ml;Novartis;60%;$ 10997.57
travoprost;GLAUCOPROST;sol.oft.x 3 ml;Max Vision;60%;$ 9413.25
travoprost;TRAVOPLOS;sol.oft.x 5 ml;Novoplos;60%;$ 11703.65
travoprost+timolol;DUOTRAV;sol.oft.x 2.5 ml;Novartis;50%;$ 18818.56
travoprost+timolol;GLAUNOT T;sol.oft.x 2.5 ml;Lab Internacion;50%;$ 18838.76
trazodone;TAXAGON AD;100 mg comp.x 20;Teva Argentina;50%;$ 12726.39
trazodone;TAXAGON AD;100 mg comp.x 30;Teva Argentina;50%;$ 19089.38
trazodone;TAXAGON AD;50 mg comp.x 20;Teva Argentina;50%;$ 8000.38
trazodone;TAXAGON AD;50 mg comp.x 30;Teva Argentina;50%;$ 11998.14
trehalosa+caboximetilcelulosa,só;AUCIC PLUS;sol.oft.x 10 ml;Poen;50%;$ 9670.65
tretinoína;NEOTRETIN D;0.005% cr.x 30 g;Cassarß;50%;$ 5169.47
tretinoína;NITEREY;0.02% cr.x 30 g;Pharmatrix;50%;$ 11486.97
tretinoína;NEOTRETIN M;0.025% cr.x 30 g;Cassarß;50%;$ 5664.02
tretinoína;NITEREY;0.05% cr.x 30 g;Pharmatrix;50%;$ 12249.98
tretinoína;NEOTRETIN F;0.050% cr.x 30 g;Cassarß;50%;$ 6360.74
tretinoína+asoc.;HIDROSAM T;0.025% env.x 20 g;Andr¿maco;50%;$ 14241.62
tretinoína+asoc.;HIDROSAM T;0.050% env.x 20 g;Andr¿maco;50%;$ 14989.52
tretinoína+asoc.;HIDROSAM T;0.100% env.x 20 g;Andr¿maco;50%;$ 16858.32
trh;TRH FERRING;200 mcg a.x 1 x 1 ml;Ferring;50%;$ 13001.91
triac;TRIACANA;0.35 mg comp.x 100;Sidus;50%;$ 7260.51
triac;TRIACANA AP;cáps.x 30;Sidus;50%;$ 23322.98
triamcinolona;GLYTOP;cr.x 30 g;Pharmatrix;50%;$ 6287.21
triamcinolona;GLYTOP-F;cr.x 30 g;Pharmatrix;50%;$ 7136.8
triamcinolona+asoc.;MANTUS;pda.x 10 g;Siegfried;50%;$ 3051.07
triamcinolona+asoc.;MANTUS;pda.x 30 g;Siegfried;50%;$ 4902.08
trifluoperazina;CUAIT TRIFLUOPERAZINA;10 mg comp.x 30;Ariston;50%;$ 9078.71
trihexifenidilo;ARTANE;5 mg comp.x 50;Pfizer;80%;$ 3006.68
triiodotironina+flumetasona;TRESITE F;pomo x 40 g;Temis-Lostal¿;50%;$ 23470.11
trimebutina;EUMOTIL;100 mg comp.x 20;Baliarda;50%;$ 2466.41
trimebutina;DEBRIDAT 200;200 mg comp.x 20;Pfizer;50%;$ 647.31
trimebutina;EUMOTIL;200 mg comp.x 20;Baliarda;50%;$ 4915.55
trimebutina;BIORGAN;200 mg comp.x 20;Craveri;50%;$ 5282.2
trimebutina;PROCINET NF;200 mg comp.x 30;Eurofarma;50%;$ 348.26
trimebutina;RELOPAT 200;200 mg comp.x 30;Microsules Arg.;50%;$ 5501.92
trimebutina;EUMOTIL;200 mg comp.x 30;Baliarda;50%;$ 6562.27
trimebutina;DEBRIDAT 200;200 mg comp.x 40;Pfizer;50%;$ 1210.75
trimebutina;BIORGAN;200 mg comp.x 40;Craveri;50%;$ 9362.04
trimebutina;EUMOTIL;200 mg comp.x 40;Baliarda;50%;$ 9489.16
trimebutina;DEBRIDAT AP;300 mg comp.lib.prol.x20;Pfizer;50%;$ 852.81
trimebutina;EUMOTIL 300;300 mg comp.lib.prol.x30;Baliarda;50%;$ 8028.49
trimebutina;PLIDEX AP;300 mg comp.lib.prol.x30;Roemmers;50%;$ 8822
trimebutina;BIORGAN AP;300 mg comp.x 20;Craveri;50%;$ 7287.27
trimebutina;MIOPROPAN;comp.x 20;Laboratorios Be;50%;$ 3489.1
trimebutina;MIOPROPAN 200;comp.x 20;Laboratorios Be;50%;$ 4797.1
trimebutina;MIOPROPAN LP;comp.x 20;Laboratorios Be;50%;$ 7123.19
trimebutina;PLIDEX 100;comp.x 30;Roemmers;50%;$ 4300.6
trimebutina;NORMOPAX 200;comp.x 30;Eczane;50%;$ 5198.86
trimebutina;NEOTINA;comp.x 30;Rossmore Pharma;50%;$ 5477.85
trimebutina;MIOPROPAN 200;comp.x 30;Laboratorios Be;50%;$ 6107.76
trimebutina;COLIXANE 200;comp.x 30;Sanitas;50%;$ 6132.21
trimebutina;PLIDEX 200;comp.x 30;Roemmers;50%;$ 6232.5
trimebutina;MIOPROPAN LP;comp.x 30;Laboratorios Be;50%;$ 7914.16
trimebutina;MIOPROPAN;comp.x 40;Laboratorios Be;50%;$ 5597.22
trimebutina;ALTRIP 200;comp.x 60;Spedrog Caillon;50%;$ 296.64
trimebutina;NORMOPAX 200;comp.x 60;Eczane;50%;$ 8426.55
trimebutina;NEOTINA;comp.x 60;Rossmore Pharma;50%;$ 11508.62
trimebutina;MIOPROPAN 200;comp.x 60;Laboratorios Be;50%;$ 12289.48
trimebutina;MIOPROPAN LP;comp.x 60;Laboratorios Be;50%;$ 15348.94
trimebutina+bromazepam;MIOPROPAN T;100/1.5 mg comp.x 20;Laboratorios Be;40%;$ 6456.05
trimebutina+bromazepam;MIOPROPAN T;100/1.5 mg comp.x 50;Laboratorios Be;40%;$ 14896.19
trimebutina+bromazepam;MIOPROPAN T 200;200/1.5 mg comp.x 30;Laboratorios Be;40%;$ 11656.47
trimebutina+bromazepam;EUMOTIL-T;comp.ran.x 20;Baliarda;40%;$ 6401.23
trimebutina+bromazepam;EUMOTIL-T;comp.ran.x 50;Baliarda;40%;$ 14886.04
trimebutina+bromazepam;DEBRIDAT B;comp.x 30;Pfizer;40%;$ 5430.23
trimebutina+bromazepam;DEBRIDAT B 200;comp.x 30;Pfizer;40%;$ 6630.16
trimebutina+bromazepam;COLIXANE B;comp.x 30;Sanitas;40%;$ 9676.8
trimebutina+bromazepam;BIORGAN B;comp.x 30;Craveri;40%;$ 11369.11
trimebutina+domperidona+simetic.;COLIXANE DISTEN;comp.x 60 (30+30);Sanitas;40%;$ 18007.2
trimebutina+ruscogenina;MIOPROPAN PROCTOLOGICO;cr.x 20 g;Laboratorios Be;40%;$ 22122.95
trimebutina+simeticona;BIORGAN S;200/120 mg comp.rec.x 20;Craveri;40%;$ 8592.61
trimebutina+simeticona;PLIDEX S;200/120 mg comp.rec.x 30;Roemmers;40%;$ 10807.2
trimebutina+simeticona;BIORGAN S;200/120 mg comp.rec.x 40;Craveri;40%;$ 15814.04
trimebutina+simeticona;PLIDEX S;200/120 mg comp.rec.x 60;Roemmers;40%;$ 18070.8
trimebutina+simeticona;EUMOTIL S;comp.rec.x 30;Baliarda;40%;$ 10429.91
trimebutina+simeticona;FACTOREX;comp.x 30;Casasco;40%;$ 10271.78
trimebutina+simeticona;MIOPROPAN S;comp.x 30;Laboratorios Be;40%;$ 10554.61
trimebutina+simeticona;FACTOREX;comp.x 60;Casasco;40%;$ 17089.22
trimebutina+simeticona;MIOPROPAN S;comp.x 60;Laboratorios Be;40%;$ 17625.62
trimetazidina;VASTAREL LP;comp.x 60;Servier;50%;$ 9223.21
triticum vulgare+asoc.;CICATUL N.F.;cr.tópica x 30 g;Megalabs Argent;50%;$ 9003.75
triticum vulgare+asoc.;CICATUL N.F.;cr.vag.x 60 g;Megalabs Argent;50%;$ 11198.77
triticum vulgare+asoc.;CICATUL N.F.;gasas est.monod.x 10;Megalabs Argent;50%;$ 13007.53
triticum vulgare+asoc.;CICATUL N.F.;ov.x 6;Megalabs Argent;50%;$ 9238.97
trolamina;BIAFINE;emuls.x 93 g;Craveri;50%;$ 561.22
tropicamida;ALCON MYDRIL;1% sol.oft.x 5 ml;Alcon;50%;$ 6162.81
trospio,cloruro;SPASMEX 15;15 mg comp.rec.x 30;Biol;50%;$ 13391.03
trospio,cloruro;SPASMEX 30;30 mg comp.rec.x 30;Biol;50%;$ 22611.45
troxerrutina+escina;TROXEVEN FORTE;500 mg comp.x 20;Craveri;50%;$ 8138.66
troxerrutina+escina;TROXEVEN FORTE;500 mg comp.x 40;Craveri;50%;$ 14019.32
troxerrutina+escina;TUBARINE 1000;comp.x 30;Ariston;50%;$ 14977.21
troxerrutina+escina;TUBARINE GEL;pomo x 50 g;Ariston;50%;$ 7014.09
troxerrutina+magn.ascorbato;VERALDID 500/150;500/150 comp.x 30;Soubeiran Chobe;50%;$ 13493.77
troxerrutina+magn.ascorbato;VERALDID 500/150;500/150 comp.x 60;Soubeiran Chobe;50%;$ 23544.61
troxerrutina+magn.ascorbato;VERALDID;comp.x 30;Soubeiran Chobe;50%;$ 6324.27
troxerrutina+magn.ascorbato;VERALDID;comp.x 60;Soubeiran Chobe;50%;$ 12462.98
umeclidinio;INCRUSE ELLIPTA;55mcg pvo.inh.x 30 ds.;GlaxoSmithKline;50%;$ 34227.78
umeclidinio+vilanterol;ANORO ELLIPTA;55/22 mcg pvo.inh.x30ds.;GlaxoSmithKline;50%;$ 36872.22
ursodesoxicólico,ác.;AUDECOL;150 mg comp.x 20;Ariston;50%;$ 7067.19
ursodesoxicólico,ác.;URSODIOL;150 mg comp.x 20;Pharmanove;50%;$ 7073.43
ursodesoxicólico,ác.;URZAC;150 mg comp.x 20;Eurofarma;50%;$ 8796.48
ursodesoxicólico,ác.;DEXO;150 mg comp.x 20;Dom¿nguez;50%;$ 9044.4
ursodesoxicólico,ác.;URSOFALK;250 mg cáps.x 100;LKM;50%;$ 62168.6
ursodesoxicólico,ác.;UDCA;250 mg cáps.x 30;Siegfried;50%;$ 21031.01
ursodesoxicólico,ác.;UDCA;250 mg cáps.x 60;Siegfried;50%;$ 40060.07
ursodesoxicólico,ác.;URSOMAX;300 mg comp.rec.x 30;Ariston;50%;$ 21842.3
ursodesoxicólico,ác.;URSOMAX;300 mg comp.rec.x 60;Ariston;50%;$ 37305.44
ursodesoxicólico,ác.;AUDECOL;300 mg comp.x 20;Ariston;50%;$ 14867.47
ursodesoxicólico,ác.;DEXO;300 mg comp.x 20;Dom¿nguez;50%;$ 15760.16
ursodesoxicólico,ác.;URDECOLE;300 mg comp.x 30;Eczane;50%;$ 13241.02
ursodesoxicólico,ác.;URSOTOP;300 mg comp.x 30;Rossmore Pharma;50%;$ 16253.32
ursodesoxicólico,ác.;URSODIOL;300 mg comp.x 30;Pharmanove;50%;$ 16631.74
ursodesoxicólico,ác.;URZAC;300 mg comp.x 30;Eurofarma;50%;$ 17297.49
ursodesoxicólico,ác.;UTRAL 300;300 mg comp.x 30;Sanitas;50%;$ 19926.27
ursodesoxicólico,ác.;URDECOLE;300 mg comp.x 50;Eczane;50%;$ 23696.7
ursodesoxicólico,ác.;URSOTOP;300 mg comp.x 50;Rossmore Pharma;50%;$ 25190.23
ursodesoxicólico,ác.;URSODIOL;300 mg comp.x 50;Pharmanove;50%;$ 29106.04
ursodesoxicólico,ác.;AUDECOL;300 mg comp.x 50;Ariston;50%;$ 30502.48
ursodesoxicólico,ác.;URZAC;300 mg comp.x 50;Eurofarma;50%;$ 34493.73
ursodesoxicólico,ác.;DEXO;300 mg comp.x 50;Dom¿nguez;50%;$ 37988.91
ursodesoxicólico,ác.;UTRAL 300;300 mg comp.x 60;Sanitas;50%;$ 39281.92
ursodesoxicólico,ác.;UDCA 300;300 mg cáps.x 30;Siegfried;50%;$ 21031.01
ursodesoxicólico,ác.;UDCA 300;300 mg cáps.x 60;Siegfried;50%;$ 40060.07
ursodesoxicólico,ác.;URSOFALK;500 mg comp.rec.x 100;Biotoscana;50%;$ 6080.78
ursodesoxicólico,ác.;URSOFALK;500 mg comp.rec.x 50;LKM;50%;$ 58692.07
ursodesoxicólico,ác.;URDECOLE;500 mg comp.x 30;Eczane;50%;$ 19616.86
ursodesoxicólico,ác.;URSODIOL;500 mg comp.x 30;Pharmanove;50%;$ 29887.7
ursodesoxicólico,ác.;URZAC FORTE;500 mg comp.x 30;Eurofarma;50%;$ 32978.1
ursodesoxicólico,ác.;URSODIOL;500 mg comp.x 50;Pharmanove;50%;$ 49199.41
ursodesoxicólico,ác.;URSOFALK;susp.oral x 250 ml;LKM;50%;$ 46933.42
vacuna oral polivalente;MEGABRON;cáps.x 12;Sidus;50%;$ 14105.19
vacuna polimicrob.polimicót.;SUMMAVAC M;iny.a.x 8;Cassarß;50%;$ 18104.41
vacuna polimicrob.polimicót.;SUMMAVAC P;iny.a.x 8;Cassarß;50%;$ 18991.65
valaciclovir;VIRAMIXAL;1 g comp.rec.x 21;Panalab;60%;$ 51036.16
valaciclovir;VALTREX;1 g comp.x 21;GlaxoSmithKline;60%;$ 59405.41
valaciclovir;VIRAMIXAL;500 mg comp.x 10;Panalab;60%;$ 17911.99
valaciclovir;VIRAMIXAL;500 mg comp.x 42;Panalab;60%;$ 48006.47
valaciclovir;VALTREX;comp.x 10;GlaxoSmithKline;60%;$ 18934.83
valaciclovir;VALTREX;comp.x 42;GlaxoSmithKline;60%;$ 63545.24
valproico,ác.;DEPAKENE;cáps.x 50;Abbott EPD;80%;$ 4023.22
valproico,ác.;DEPAKENE;jbe.x 120 ml;Abbott EPD;80%;$ 2231.24
valproico,ác.;LOGICAL;jbe.x 120 ml;Teva Argentina;80%;$ 2394.19
valproico,ác.;EXIBRAL JBE;jbe.x 120 ml;Bag¿;80%;$ 2457.1
valsartán;SEMANAR;160 mg comp.rec.x 14;Microsules Arg.;60%;$ 5981.21
valsartán;ALPERTAN;160 mg comp.rec.x 14;Adium;60%;$ 6180.19
valsartán;DIOVAN;160 mg comp.rec.x 14;Siegfried;60%;$ 7389.59
valsartán;DIAPRESAN 160;160 mg comp.rec.x 15;Montpellier;60%;$ 3964.24
valsartán;SARVAL;160 mg comp.rec.x 15;Baliarda;60%;$ 6521.58
valsartán;SEMANAR;160 mg comp.rec.x 28;Microsules Arg.;60%;$ 12169.93
valsartán;DILCORAN;160 mg comp.rec.x 28;Casasco;60%;$ 12712.8
valsartán;RACORVAL;160 mg comp.rec.x 28;Roemmers;60%;$ 12918.5
valsartán;ALPERTAN;160 mg comp.rec.x 28;Adium;60%;$ 13590.42
valsartán;DIOVAN;160 mg comp.rec.x 28;Siegfried;60%;$ 14402.94
valsartán;PALIAX;160 mg comp.rec.x 30;Gador;60%;$ 11744.29
valsartán;DILCORAN;160 mg comp.rec.x 30;Casasco;60%;$ 11749.54
valsartán;RACORVAL;160 mg comp.rec.x 30;Roemmers;60%;$ 11749.66
valsartán;DIAPRESAN 160;160 mg comp.rec.x 30;Montpellier;60%;$ 12418.62
valsartán;SIMULTAN;160 mg comp.rec.x 30;Lazar;60%;$ 12661.72
valsartán;HIPREX;160 mg comp.rec.x 30;Teva Argentina;60%;$ 12710.5
valsartán;SARVAL;160 mg comp.rec.x 30;Baliarda;60%;$ 13055.15
valsartán;NICORVAS;160 mg comp.rec.x 30;Temis-Lostal¿;60%;$ 13289.75
valsartán;DILCORAN;160 mg comp.rec.x 56;Casasco;60%;$ 23556.82
valsartán;VALSARFEC;160 mg comp.x 28;Fecofar;60%;$ 11424.73
valsartán;COROSAN;160 mg comp.x 30;Elea;60%;$ 13023.5
valsartán;DILCORAN;320 mg comp.rec.x 28;Casasco;60%;$ 14406.18
valsartán;ALPERTAN;320 mg comp.rec.x 28;Adium;60%;$ 14455.66
valsartán;DIOVAN;320 mg comp.rec.x 28;Siegfried;60%;$ 15896.04
valsartán;PALIAX;320 mg comp.rec.x 30;Gador;60%;$ 12556.17
valsartán;DIAPRESAN 320;320 mg comp.rec.x 30;Montpellier;60%;$ 12560.83
valsartán;DILCORAN;320 mg comp.rec.x 30;Casasco;60%;$ 12562.25
valsartán;SIMULTAN;320 mg comp.rec.x 30;Lazar;60%;$ 13308.92
valsartán;RACORVAL;320 mg comp.rec.x 30;Roemmers;60%;$ 13726.12
valsartán;SARVAL;320 mg comp.rec.x 30;Baliarda;60%;$ 13958.1
valsartán;DILCORAN;320 mg comp.rec.x 56;Casasco;60%;$ 3078.81
valsartán;VALSARFEC;320 mg comp.x 28;Fecofar;60%;$ 12281.96
valsartán;COROSAN;320 mg comp.x 30;Elea;60%;$ 15004.85
valsartán;DIOVAN IC;40 mg comp.rec.x 14;Siegfried;60%;$ 7708.41
valsartán;RACORVAL;80 mg comp.rec.x 14;Roemmers;60%;$ 627.58
valsartán;SEMANAR;80 mg comp.rec.x 14;Microsules Arg.;60%;$ 4816.44
valsartán;ALPERTAN;80 mg comp.rec.x 14;Adium;60%;$ 5172.93
valsartán;DIAPRESAN 80;80 mg comp.rec.x 15;Montpellier;60%;$ 3869.05
valsartán;SARVAL;80 mg comp.rec.x 15;Baliarda;60%;$ 5026.76
valsartán;SEMANAR;80 mg comp.rec.x 28;Microsules Arg.;60%;$ 9425.14
valsartán;RACORVAL;80 mg comp.rec.x 28;Roemmers;60%;$ 9701.97
valsartán;DILCORAN;80 mg comp.rec.x 28;Casasco;60%;$ 9931.67
valsartán;ALPERTAN;80 mg comp.rec.x 28;Adium;60%;$ 10525.61
valsartán;DIOVAN;80 mg comp.rec.x 28;Siegfried;60%;$ 11260.87
valsartán;PALIAX;80 mg comp.rec.x 30;Gador;60%;$ 8899.4
valsartán;DILCORAN;80 mg comp.rec.x 30;Casasco;60%;$ 8902.24
valsartán;RACORVAL;80 mg comp.rec.x 30;Roemmers;60%;$ 8902.24
valsartán;HIPREX;80 mg comp.rec.x 30;Teva Argentina;60%;$ 9441.84
valsartán;DIAPRESAN 80;80 mg comp.rec.x 30;Montpellier;60%;$ 9610.98
valsartán;SIMULTAN;80 mg comp.rec.x 30;Lazar;60%;$ 9710.16
valsartán;SARVAL;80 mg comp.rec.x 30;Baliarda;60%;$ 9891.43
valsartán;NICORVAS;80 mg comp.rec.x 30;Temis-Lostal¿;60%;$ 10563.73
valsartán;DILCORAN;80 mg comp.rec.x 56;Casasco;60%;$ 17955.99
valsartán;VALSARFEC;80 mg comp.x 28;Fecofar;60%;$ 8848.04
valsartán;COROSAN;80 mg comp.x 30;Elea;60%;$ 10967.77
valsartán;HIPERVAL 80;comp.rec.x 28;Richmond;60%;$ 9582.69
valsartán;HIPERVAL 160;comp.rec.x 28;Richmond;60%;$ 11954.48
valsartán+amlodipina;EXFORGE;10/160 mg comp.rec.x 28;Siegfried;50%;$ 23147.75
valsartán+amlodipina;NOSTER;10/160 mg comp.x 28;Adium;50%;$ 20027.37
valsartán+amlodipina;EXFORGE;10/320 mg comp.rec.x 28;Siegfried;50%;$ 29235.05
valsartán+amlodipina;RACORVAL A;160/10 mg comp.rec.x 28;Roemmers;50%;$ 17311.76
valsartán+amlodipina;DILCORAN PLUS;160/10 mg comp.rec.x 28;Casasco;50%;$ 19422.48
valsartán+amlodipina;DIAPRESAN A;160/10 mg comp.rec.x 30;Montpellier;50%;$ 15818.86
valsartán+amlodipina;DISARVAL;160/10 mg comp.rec.x 30;Baliarda;50%;$ 19907.66
valsartán+amlodipina;DILCORAN PLUS;160/10 mg comp.rec.x 56;Casasco;50%;$ 35140.05
valsartán+amlodipina;HIPREX MAX;160/10 mg comp.x 28;Teva Argentina;50%;$ 18024.63
valsartán+amlodipina;SIMULTAN A;160/10 mg comp.x 30;Lazar;50%;$ 18238.64
valsartán+amlodipina;DILCORAN PLUS;160/5 mg comp.rec.x 28;Casasco;50%;$ 18774.84
valsartán+amlodipina;RACORVAL A;160/5 mg comp.rec.x 28;Roemmers;50%;$ 18811.99
valsartán+amlodipina;DIAPRESAN A;160/5 mg comp.rec.x 30;Montpellier;50%;$ 16347.13
valsartán+amlodipina;DISARVAL;160/5 mg comp.rec.x 30;Baliarda;50%;$ 19252.55
valsartán+amlodipina;NICORVAS A;160/5 mg comp.rec.x 30;Temis-Lostal¿;50%;$ 19550.47
valsartán+amlodipina;DILCORAN PLUS;160/5 mg comp.rec.x 56;Casasco;50%;$ 33919.82
valsartán+amlodipina;HIPREX MAX;160/5 mg comp.x 28;Teva Argentina;50%;$ 17552.68
valsartán+amlodipina;SIMULTAN A;160/5 mg comp.x 30;Lazar;50%;$ 18125.04
valsartán+amlodipina;DISARVAL;320/10 mg comp.rec.x 30;Baliarda;50%;$ 23542.85
valsartán+amlodipina;SIMULTAN A;320/10 mg comp.x 30;Lazar;50%;$ 21187.45
valsartán+amlodipina;DISARVAL;320/5 mg comp.rec.x 30;Baliarda;50%;$ 22774.52
valsartán+amlodipina;SIMULTAN A;320/5 mg comp.x 30;Lazar;50%;$ 20013.21
